DATE,TITLE,SPEAKER,SERIES,SERVICE,FILES
10/17/21,Learning To Be Still,Mike Roy,N/A,Sunday Evening,Learning_To_Be_Still_-_Mike_Roy.mp3
10/10/21,Our Joy In Christ,Conrad Harkrider,N/A,Sunday Morning,Our_Joy_In_Christ_-_Conrad_Harkrider.mp3
10/3/21,"The 7 ""I AM's"" In the Gospel of John",David Tant,N/A,Sunday Morning,The_7_I_AMs_In_the_Gospel_of_John__-_David_Tant.mp3
9/26/21,Holding God's Hand In Fellowship,Jeremy Sweets,Holding God's Hand,Sunday Morning,Holding_Gods_Hand_In_Fellowship_-_Jeremy_Sweets.mp3
9/26/21,Trust and Obey,Keith Dickey,N/A,Sunday Evening,Trust_and_Obey_-_Keith_Dickey.mp3
9/19/21,Can These Bones Live?,Mike Roy,N/A,Sunday Morning,Can_These_Bones_Live_-_Mike_Roy.mp3
9/19/21,Amos 1: God is Sovereign,Jeremy Sweets,Amos,Sunday Evening,Amos_1_-_God_is_Sovereign_-_Jeremy_Sweets.mp3
9/12/21,Spiritual vs. Physical,Conrad Harkrider,N/A,Sunday Morning,Spiritual_Vs._Physical_-_Conrad_Harkrider.mp3
9/5/21,In the Face of Adversity - Nehemiah 4,Conrad Harkrider,N/A,Sunday Evening,In_the_Face_of_Adversity_-_Conrad_Harkrider.mp3
8/29/21,Why I Am Non-Institutional,Jeremy Sweets,N/A,Sunday Morning,Why_I_Am_Non-Institutional_-_Jeremy_Sweets.mp3
8/22/21,He Is Faithful,Conrad Harkrider,Holding God's Hand,Sunday Morning,Holding_Gods_Hand_-_He_Is_Faithful_-_Conrad_Harkrider.mp3
8/15/21,God's Response to Foreigners,Jeremy Sweets,N/A,Sunday Evening,Gods_Response_to_Foreigners_-_Jeremy_Sweets.mp3
8/8/21,The Goal of Chritianity,Conrad Harkrider,N/A,Sunday Morning,The_Goal_of_Christianity_-_Conrad_Harkrider.mp3
8/1/21,Jesus Full of Truth,Jeremy Sweets,N/A,Sunday Morning,Jesus_Full_of_Truth_-_Jeremy_Sweets.mp3
8/1/21,Gaze at God - Glance at Life,Mike Roy,N/A,Sunday Evening,Gaze_at_God_-_Glance_at_Life_-_Mike_Roy.mp3
7/25/21,From Victory to Defeat,Conrad Harkrider,N/A,Sunday Morning,From_Victory_to_Defeat_-_Conrad_Harkrider.mp3
7/25/21,Empty Never Felt So Full,Skip McCord,N/A,Sunday Evening,
7/18/21,Work Out Your Own Salvation,Matt Harber,N/A,Sunday Morning,Work_Out_Your_Own_Salvation_-_Matt_Harber.mp3
7/18/21,Questions About Conversion,Jeremy Sweets,N/A,Sunday Evening,Questions_About_Conversion_-_Jeremy_Sweets.mp3
7/11/21,James: Son of Thunder,Conrad Harkrider,N/A,Sunday Morning,James_-_Son_of_Thunder_-_Conrad_Harkrider.mp3
7/4/21,Unstoppable,Mike Roy,N/A,Sunday Morning,Unstoppable_-_Mike_Roy.mp3
7/4/21,The Silence of the Scriptures,David Tant,N/A,Sunday Evening,The_Silence_of_the_Scriptures_-_David_Tant.mp3
6/27/21,The Folly of Bad Company,Jeremy Sweets,N/A,Sunday Morning,The_Folly_of_Bad_Company_-_Jeremy_Sweets.mp3
6/27/21,The Magnificat,Kyle McDonald,N/A,Sunday Evening,The_Magnificat_-_Kyle_McDonald.mp3
6/20/21,It's Time To Build - Nehemiah 3,Conrad Harkrider,N/A,Sunday Evening,Its_Time_to_Build_-_Nehemiah_3_-_Conrad_Harkrider.mp3
6/13/21,Not All Miracles are the Same,Conrad Harkrider,N/A,Sunday Morning,Not_All_Miracles_Are_the_Same_-_Conrad_Harkrider.mp3
6/6/21,Imperishable Beauty,Jeremy Sweets,N/A,Sunday Evening,Imperishable_Beauty_-_Jeremy_Sweets.mp3
6/6/21,For My Thoughts Are Not Your Thoughts,Mike Roy,N/A,Sunday Morning,For_My_Thoughts_Are_Not_Your_Thoughts_-_Mike_Roy.mp3
5/30/21,Biblical Hearing,Curtis Byers,N/A,Sunday Evening,Biblical_Hearing_-_Curtis_Byers.mp3
5/30/21,Biblical Memorials,Jeremy Sweets,N/A,Sunday Morning,Biblical_Memorials_-_Jeremy_Sweets.mp3
5/23/21,Holding God's Hand: Abraham and Isaac,Conrad Harkrider,Holding God's Hand,Sunday Morning,Holding_Gods_Hand_-_Abraham_and_Isaac_-_Conrad_Harkrider.mp3
5/23/21,Wonderfully Made,Jonathan Wickersheim,N/A,Sunday Evening,Wonderfully_Made_-_Jonathon_Wickersheim.mp3
5/16/21,The Frustration of Time,Jeremy Sweets,N/A,Sunday Evening,The_Frustration_of_Time_-_Jeremy_Sweets.mp3
5/16/21,Real Love,Mike Roy,N/A,Sunday Morning,Real_Love_-_Mike_Roy.mp3
5/9/21,The Church Values Women,Jeremy Sweets,N/A,Sunday Morning,The_Church_Values_Women_-_Jeremy_Sweets.mp3
